tier_id:ID(Tier),row_id,tier:int,:LABEL
BL_R2_r0_t0,BL_R2_r0,0,Tier
BL_R2_r1_t0,BL_R2_r1,0,Tier
BL_R2_r5_t0,BL_R2_r5,0,Tier
BL_R3_r0_t0,BL_R3_r0,0,Tier
BL_R3_r1_t0,BL_R3_r1,0,Tier
BL_R3_r2_t0,BL_R3_r2,0,Tier
BL_R3_r4_t0,BL_R3_r4,0,Tier
BL_R3_r5_t0,BL_R3_r5,0,Tier
BL_R3_r6_t0,BL_R3_r6,0,Tier
BL_R3_r7_t0,BL_R3_r7,0,Tier
BL_R4_r0_t0,BL_R4_r0,0,Tier
BL_R4_r0_t1,BL_R4_r0,1,Tier
BL_R4_r0_t2,BL_R4_r0,2,Tier
BL_R4_r0_t3,BL_R4_r0,3,Tier
BL_R4_r0_t4,BL_R4_r0,4,Tier
BL_R4_r0_t5,BL_R4_r0,5,Tier
BL_R4_r0_t6,BL_R4_r0,6,Tier
BL_R4_r0_t7,BL_R4_r0,7,Tier
BL_R4_r0_t8,BL_R4_r0,8,Tier
BL_R4_r0_t9,BL_R4_r0,9,Tier
BL_R4_r1_t0,BL_R4_r1,0,Tier
BL_R4_r1_t1,BL_R4_r1,1,Tier
BL_R4_r1_t2,BL_R4_r1,2,Tier
BL_R4_r1_t3,BL_R4_r1,3,Tier
BL_R4_r1_t4,BL_R4_r1,4,Tier
BL_R4_r1_t5,BL_R4_r1,5,Tier
BL_R4_r1_t6,BL_R4_r1,6,Tier
BL_R4_r1_t7,BL_R4_r1,7,Tier
BL_R4_r1_t8,BL_R4_r1,8,Tier
BL_R4_r1_t9,BL_R4_r1,9,Tier
BL_R4_r2_t0,BL_R4_r2,0,Tier
BL_R4_r2_t1,BL_R4_r2,1,Tier
BL_R4_r2_t2,BL_R4_r2,2,Tier
BL_R4_r2_t3,BL_R4_r2,3,Tier
BL_R4_r2_t4,BL_R4_r2,4,Tier
BL_R4_r2_t5,BL_R4_r2,5,Tier
BL_R4_r2_t6,BL_R4_r2,6,Tier
BL_R4_r2_t7,BL_R4_r2,7,Tier
BL_R4_r2_t8,BL_R4_r2,8,Tier
BL_R4_r2_t9,BL_R4_r2,9,Tier
BL_R4_r3_t0,BL_R4_r3,0,Tier
BL_R4_r3_t1,BL_R4_r3,1,Tier
BL_R4_r3_t2,BL_R4_r3,2,Tier
BL_R4_r3_t3,BL_R4_r3,3,Tier
BL_R4_r3_t4,BL_R4_r3,4,Tier
BL_R4_r3_t5,BL_R4_r3,5,Tier
BL_R4_r3_t6,BL_R4_r3,6,Tier
BL_R4_r3_t7,BL_R4_r3,7,Tier
BL_R4_r3_t8,BL_R4_r3,8,Tier
BL_R4_r3_t9,BL_R4_r3,9,Tier
BL_R4_r4_t0,BL_R4_r4,0,Tier
BL_R4_r4_t1,BL_R4_r4,1,Tier
BL_R4_r4_t2,BL_R4_r4,2,Tier
BL_R4_r4_t3,BL_R4_r4,3,Tier
BL_R4_r4_t4,BL_R4_r4,4,Tier
BL_R4_r4_t5,BL_R4_r4,5,Tier
BL_R4_r4_t6,BL_R4_r4,6,Tier
BL_R4_r4_t7,BL_R4_r4,7,Tier
BL_R4_r4_t8,BL_R4_r4,8,Tier
BL_R4_r4_t9,BL_R4_r4,9,Tier
BL_R4_r5_t0,BL_R4_r5,0,Tier
BL_R4_r5_t1,BL_R4_r5,1,Tier
BL_R4_r5_t2,BL_R4_r5,2,Tier
BL_R4_r5_t3,BL_R4_r5,3,Tier
BL_R4_r5_t4,BL_R4_r5,4,Tier
BL_R4_r5_t5,BL_R4_r5,5,Tier
BL_R4_r5_t6,BL_R4_r5,6,Tier
BL_R4_r5_t7,BL_R4_r5,7,Tier
BL_R4_r5_t8,BL_R4_r5,8,Tier
BL_R4_r5_t9,BL_R4_r5,9,Tier
BL_R4_r6_t0,BL_R4_r6,0,Tier
BL_R4_r6_t1,BL_R4_r6,1,Tier
BL_R4_r6_t2,BL_R4_r6,2,Tier
BL_R4_r6_t3,BL_R4_r6,3,Tier
BL_R4_r6_t4,BL_R4_r6,4,Tier
BL_R4_r6_t5,BL_R4_r6,5,Tier
BL_R4_r6_t6,BL_R4_r6,6,Tier
BL_R4_r6_t7,BL_R4_r6,7,Tier
BL_R4_r6_t8,BL_R4_r6,8,Tier
BL_R4_r6_t9,BL_R4_r6,9,Tier
BL_R4_r7_t0,BL_R4_r7,0,Tier
BL_R4_r7_t1,BL_R4_r7,1,Tier
BL_R4_r7_t2,BL_R4_r7,2,Tier
BL_R4_r7_t3,BL_R4_r7,3,Tier
BL_R4_r7_t4,BL_R4_r7,4,Tier
BL_R4_r7_t5,BL_R4_r7,5,Tier
BL_R4_r7_t6,BL_R4_r7,6,Tier
BL_R4_r7_t7,BL_R4_r7,7,Tier
BL_R4_r7_t8,BL_R4_r7,8,Tier
BL_R4_r7_t9,BL_R4_r7,9,Tier
BL_R4_r8_t0,BL_R4_r8,0,Tier
BL_R4_r8_t1,BL_R4_r8,1,Tier
BL_R4_r8_t2,BL_R4_r8,2,Tier
BL_R4_r8_t3,BL_R4_r8,3,Tier
BL_R4_r8_t4,BL_R4_r8,4,Tier
BL_R4_r8_t5,BL_R4_r8,5,Tier
BL_R4_r8_t6,BL_R4_r8,6,Tier
BL_R4_r8_t7,BL_R4_r8,7,Tier
BL_R4_r8_t8,BL_R4_r8,8,Tier
BL_R4_r8_t9,BL_R4_r8,9,Tier
BL_R4_r9_t0,BL_R4_r9,0,Tier
BL_R4_r9_t1,BL_R4_r9,1,Tier
BL_R4_r9_t2,BL_R4_r9,2,Tier
BL_R4_r9_t3,BL_R4_r9,3,Tier
BL_R4_r9_t4,BL_R4_r9,4,Tier
BL_R4_r9_t5,BL_R4_r9,5,Tier
BL_R4_r9_t6,BL_R4_r9,6,Tier
BL_R4_r9_t7,BL_R4_r9,7,Tier
BL_R4_r9_t8,BL_R4_r9,8,Tier
BL_R4_r9_t9,BL_R4_r9,9,Tier
SF_R2_r0_t0,SF_R2_r0,0,Tier
SF_R2_r1_t0,SF_R2_r1,0,Tier
SF_R2_r2_t0,SF_R2_r2,0,Tier
SF_R2_r3_t0,SF_R2_r3,0,Tier
SF_R2_r4_t0,SF_R2_r4,0,Tier
SF_R2_r5_t0,SF_R2_r5,0,Tier
SF_R3_r0_t0,SF_R3_r0,0,Tier
SF_R3_r1_t0,SF_R3_r1,0,Tier
SF_R3_r2_t0,SF_R3_r2,0,Tier
SF_R3_r3_t0,SF_R3_r3,0,Tier
SF_R3_r4_t0,SF_R3_r4,0,Tier
SF_R3_r5_t0,SF_R3_r5,0,Tier
SF_R3_r6_t0,SF_R3_r6,0,Tier
SF_R3_r7_t0,SF_R3_r7,0,Tier
SF_R4_r0_t0,SF_R4_r0,0,Tier
SF_R4_r0_t1,SF_R4_r0,1,Tier
SF_R4_r0_t2,SF_R4_r0,2,Tier
SF_R4_r0_t3,SF_R4_r0,3,Tier
SF_R4_r0_t4,SF_R4_r0,4,Tier
SF_R4_r0_t5,SF_R4_r0,5,Tier
SF_R4_r0_t6,SF_R4_r0,6,Tier
SF_R4_r0_t7,SF_R4_r0,7,Tier
SF_R4_r0_t8,SF_R4_r0,8,Tier
SF_R4_r0_t9,SF_R4_r0,9,Tier
SF_R4_r1_t0,SF_R4_r1,0,Tier
SF_R4_r1_t1,SF_R4_r1,1,Tier
SF_R4_r1_t2,SF_R4_r1,2,Tier
SF_R4_r1_t3,SF_R4_r1,3,Tier
SF_R4_r1_t4,SF_R4_r1,4,Tier
SF_R4_r1_t5,SF_R4_r1,5,Tier
SF_R4_r1_t6,SF_R4_r1,6,Tier
SF_R4_r1_t7,SF_R4_r1,7,Tier
SF_R4_r1_t8,SF_R4_r1,8,Tier
SF_R4_r1_t9,SF_R4_r1,9,Tier
SF_R4_r2_t0,SF_R4_r2,0,Tier
SF_R4_r2_t1,SF_R4_r2,1,Tier
SF_R4_r2_t2,SF_R4_r2,2,Tier
SF_R4_r2_t3,SF_R4_r2,3,Tier
SF_R4_r2_t4,SF_R4_r2,4,Tier
SF_R4_r2_t5,SF_R4_r2,5,Tier
SF_R4_r2_t6,SF_R4_r2,6,Tier
SF_R4_r2_t7,SF_R4_r2,7,Tier
SF_R4_r2_t8,SF_R4_r2,8,Tier
SF_R4_r2_t9,SF_R4_r2,9,Tier
SF_R4_r3_t0,SF_R4_r3,0,Tier
SF_R4_r3_t1,SF_R4_r3,1,Tier
SF_R4_r3_t2,SF_R4_r3,2,Tier
SF_R4_r3_t3,SF_R4_r3,3,Tier
SF_R4_r3_t4,SF_R4_r3,4,Tier
SF_R4_r3_t5,SF_R4_r3,5,Tier
SF_R4_r3_t6,SF_R4_r3,6,Tier
SF_R4_r3_t7,SF_R4_r3,7,Tier
SF_R4_r3_t8,SF_R4_r3,8,Tier
SF_R4_r3_t9,SF_R4_r3,9,Tier
SF_R4_r4_t0,SF_R4_r4,0,Tier
SF_R4_r4_t1,SF_R4_r4,1,Tier
SF_R4_r4_t2,SF_R4_r4,2,Tier
SF_R4_r4_t3,SF_R4_r4,3,Tier
SF_R4_r4_t4,SF_R4_r4,4,Tier
SF_R4_r4_t5,SF_R4_r4,5,Tier
SF_R4_r4_t6,SF_R4_r4,6,Tier
SF_R4_r4_t7,SF_R4_r4,7,Tier
SF_R4_r4_t8,SF_R4_r4,8,Tier
SF_R4_r4_t9,SF_R4_r4,9,Tier
SF_R4_r5_t0,SF_R4_r5,0,Tier
SF_R4_r5_t1,SF_R4_r5,1,Tier
SF_R4_r5_t2,SF_R4_r5,2,Tier
SF_R4_r5_t3,SF_R4_r5,3,Tier
SF_R4_r5_t4,SF_R4_r5,4,Tier
SF_R4_r5_t5,SF_R4_r5,5,Tier
SF_R4_r5_t6,SF_R4_r5,6,Tier
SF_R4_r5_t7,SF_R4_r5,7,Tier
SF_R4_r5_t8,SF_R4_r5,8,Tier
SF_R4_r5_t9,SF_R4_r5,9,Tier
SF_R4_r6_t0,SF_R4_r6,0,Tier
SF_R4_r6_t1,SF_R4_r6,1,Tier
SF_R4_r6_t2,SF_R4_r6,2,Tier
SF_R4_r6_t3,SF_R4_r6,3,Tier
SF_R4_r6_t4,SF_R4_r6,4,Tier
SF_R4_r6_t5,SF_R4_r6,5,Tier
SF_R4_r6_t6,SF_R4_r6,6,Tier
SF_R4_r6_t7,SF_R4_r6,7,Tier
SF_R4_r6_t8,SF_R4_r6,8,Tier
SF_R4_r6_t9,SF_R4_r6,9,Tier
SF_R4_r7_t0,SF_R4_r7,0,Tier
SF_R4_r7_t1,SF_R4_r7,1,Tier
SF_R4_r7_t2,SF_R4_r7,2,Tier
SF_R4_r7_t3,SF_R4_r7,3,Tier
SF_R4_r7_t4,SF_R4_r7,4,Tier
SF_R4_r7_t5,SF_R4_r7,5,Tier
SF_R4_r7_t6,SF_R4_r7,6,Tier
SF_R4_r7_t7,SF_R4_r7,7,Tier
SF_R4_r7_t8,SF_R4_r7,8,Tier
SF_R4_r7_t9,SF_R4_r7,9,Tier
SF_R4_r8_t0,SF_R4_r8,0,Tier
SF_R4_r8_t1,SF_R4_r8,1,Tier
SF_R4_r8_t2,SF_R4_r8,2,Tier
SF_R4_r8_t3,SF_R4_r8,3,Tier
SF_R4_r8_t4,SF_R4_r8,4,Tier
SF_R4_r8_t5,SF_R4_r8,5,Tier
SF_R4_r8_t6,SF_R4_r8,6,Tier
SF_R4_r8_t7,SF_R4_r8,7,Tier
SF_R4_r8_t8,SF_R4_r8,8,Tier
SF_R4_r8_t9,SF_R4_r8,9,Tier
SF_R4_r9_t0,SF_R4_r9,0,Tier
SF_R4_r9_t1,SF_R4_r9,1,Tier
SF_R4_r9_t2,SF_R4_r9,2,Tier
SF_R4_r9_t3,SF_R4_r9,3,Tier
SF_R4_r9_t4,SF_R4_r9,4,Tier
SF_R4_r9_t5,SF_R4_r9,5,Tier
SF_R4_r9_t6,SF_R4_r9,6,Tier
SF_R4_r9_t7,SF_R4_r9,7,Tier
SF_R4_r9_t8,SF_R4_r9,8,Tier
SF_R4_r9_t9,SF_R4_r9,9,Tier
EF_R2_r0_t0,EF_R2_r0,0,Tier
EF_R2_r1_t0,EF_R2_r1,0,Tier
EF_R2_r2_t0,EF_R2_r2,0,Tier
EF_R2_r3_t0,EF_R2_r3,0,Tier
EF_R2_r4_t0,EF_R2_r4,0,Tier
EF_R3_r0_t0,EF_R3_r0,0,Tier
EF_R3_r1_t0,EF_R3_r1,0,Tier
EF_R3_r1_t1,EF_R3_r1,1,Tier
EF_R3_r2_t0,EF_R3_r2,0,Tier
EF_R3_r3_t0,EF_R3_r3,0,Tier
EF_R3_r4_t0,EF_R3_r4,0,Tier
EF_R3_r5_t0,EF_R3_r5,0,Tier
EF_R3_r6_t0,EF_R3_r6,0,Tier
EF_R3_r7_t0,EF_R3_r7,0,Tier
EF_R4_r0_t0,EF_R4_r0,0,Tier
EF_R4_r0_t1,EF_R4_r0,1,Tier
EF_R4_r0_t2,EF_R4_r0,2,Tier
EF_R4_r0_t3,EF_R4_r0,3,Tier
EF_R4_r0_t4,EF_R4_r0,4,Tier
EF_R4_r0_t5,EF_R4_r0,5,Tier
EF_R4_r0_t6,EF_R4_r0,6,Tier
EF_R4_r0_t7,EF_R4_r0,7,Tier
EF_R4_r0_t8,EF_R4_r0,8,Tier
EF_R4_r0_t9,EF_R4_r0,9,Tier
EF_R4_r1_t0,EF_R4_r1,0,Tier
EF_R4_r1_t1,EF_R4_r1,1,Tier
EF_R4_r1_t2,EF_R4_r1,2,Tier
EF_R4_r1_t3,EF_R4_r1,3,Tier
EF_R4_r1_t4,EF_R4_r1,4,Tier
EF_R4_r1_t5,EF_R4_r1,5,Tier
EF_R4_r1_t6,EF_R4_r1,6,Tier
EF_R4_r1_t7,EF_R4_r1,7,Tier
EF_R4_r1_t8,EF_R4_r1,8,Tier
EF_R4_r1_t9,EF_R4_r1,9,Tier
EF_R4_r2_t0,EF_R4_r2,0,Tier
EF_R4_r2_t1,EF_R4_r2,1,Tier
EF_R4_r2_t2,EF_R4_r2,2,Tier
EF_R4_r2_t3,EF_R4_r2,3,Tier
EF_R4_r2_t4,EF_R4_r2,4,Tier
EF_R4_r2_t5,EF_R4_r2,5,Tier
EF_R4_r2_t6,EF_R4_r2,6,Tier
EF_R4_r2_t7,EF_R4_r2,7,Tier
EF_R4_r2_t8,EF_R4_r2,8,Tier
EF_R4_r3_t0,EF_R4_r3,0,Tier
EF_R4_r3_t1,EF_R4_r3,1,Tier
EF_R4_r3_t2,EF_R4_r3,2,Tier
EF_R4_r3_t3,EF_R4_r3,3,Tier
EF_R4_r3_t4,EF_R4_r3,4,Tier
EF_R4_r3_t5,EF_R4_r3,5,Tier
EF_R4_r3_t6,EF_R4_r3,6,Tier
EF_R4_r3_t7,EF_R4_r3,7,Tier
EF_R4_r3_t8,EF_R4_r3,8,Tier
EF_R4_r3_t9,EF_R4_r3,9,Tier
EF_R4_r4_t0,EF_R4_r4,0,Tier
EF_R4_r4_t1,EF_R4_r4,1,Tier
EF_R4_r4_t2,EF_R4_r4,2,Tier
EF_R4_r4_t3,EF_R4_r4,3,Tier
EF_R4_r4_t4,EF_R4_r4,4,Tier
EF_R4_r4_t5,EF_R4_r4,5,Tier
EF_R4_r4_t6,EF_R4_r4,6,Tier
EF_R4_r4_t7,EF_R4_r4,7,Tier
EF_R4_r4_t8,EF_R4_r4,8,Tier
EF_R4_r4_t9,EF_R4_r4,9,Tier
EF_R4_r5_t0,EF_R4_r5,0,Tier
EF_R4_r5_t1,EF_R4_r5,1,Tier
EF_R4_r5_t2,EF_R4_r5,2,Tier
EF_R4_r5_t3,EF_R4_r5,3,Tier
EF_R4_r5_t4,EF_R4_r5,4,Tier
EF_R4_r5_t5,EF_R4_r5,5,Tier
EF_R4_r5_t6,EF_R4_r5,6,Tier
EF_R4_r5_t7,EF_R4_r5,7,Tier
EF_R4_r5_t8,EF_R4_r5,8,Tier
EF_R4_r5_t9,EF_R4_r5,9,Tier
EF_R4_r6_t0,EF_R4_r6,0,Tier
EF_R4_r6_t1,EF_R4_r6,1,Tier
EF_R4_r6_t2,EF_R4_r6,2,Tier
EF_R4_r6_t3,EF_R4_r6,3,Tier
EF_R4_r6_t4,EF_R4_r6,4,Tier
EF_R4_r6_t5,EF_R4_r6,5,Tier
EF_R4_r6_t6,EF_R4_r6,6,Tier
EF_R4_r6_t7,EF_R4_r6,7,Tier
EF_R4_r6_t8,EF_R4_r6,8,Tier
EF_R4_r6_t9,EF_R4_r6,9,Tier
EF_R4_r7_t0,EF_R4_r7,0,Tier
EF_R4_r7_t1,EF_R4_r7,1,Tier
EF_R4_r7_t2,EF_R4_r7,2,Tier
EF_R4_r7_t3,EF_R4_r7,3,Tier
EF_R4_r7_t4,EF_R4_r7,4,Tier
EF_R4_r7_t5,EF_R4_r7,5,Tier
EF_R4_r7_t6,EF_R4_r7,6,Tier
EF_R4_r7_t7,EF_R4_r7,7,Tier
EF_R4_r7_t8,EF_R4_r7,8,Tier
EF_R4_r7_t9,EF_R4_r7,9,Tier
EF_R4_r8_t0,EF_R4_r8,0,Tier
EF_R4_r8_t1,EF_R4_r8,1,Tier
EF_R4_r8_t2,EF_R4_r8,2,Tier
EF_R4_r8_t3,EF_R4_r8,3,Tier
EF_R4_r8_t4,EF_R4_r8,4,Tier
EF_R4_r8_t5,EF_R4_r8,5,Tier
EF_R4_r8_t6,EF_R4_r8,6,Tier
EF_R4_r8_t7,EF_R4_r8,7,Tier
EF_R4_r8_t8,EF_R4_r8,8,Tier
EF_R4_r8_t9,EF_R4_r8,9,Tier
EF_R4_r9_t0,EF_R4_r9,0,Tier
EF_R4_r9_t1,EF_R4_r9,1,Tier
EF_R4_r9_t2,EF_R4_r9,2,Tier
EF_R4_r9_t3,EF_R4_r9,3,Tier
EF_R4_r9_t4,EF_R4_r9,4,Tier
EF_R4_r9_t5,EF_R4_r9,5,Tier
EF_R4_r9_t6,EF_R4_r9,6,Tier
EF_R4_r9_t7,EF_R4_r9,7,Tier
EF_R4_r9_t8,EF_R4_r9,8,Tier
EF_R4_r9_t9,EF_R4_r9,9,Tier
